timestamp,experiment_id,tag,model,fold,cleaning,nlp_method,embedding,epochs,batch_size,train_time_sec,f1_macro,recall_neg,precision_pos,notes
2025-11-17T04:00:12.356400+00:00,C09,C09_SRN_20251116-225903,simple_rnn,3,baseline,keras_tokenizer,learned,5,128,20.762897520002298,0.301514629273854,0.3303370786516854,0.735270379338176,
2025-11-17T04:03:50.020281+00:00,C10,C10_SRN_20251116-230320,simple_rnn,1,lemmatize,keras_tokenizer,learned,5,128,26.877038062000793,0.2765327559507675,0.29292929292929293,0.7231800766283525,
2025-11-17T04:04:11.496049+00:00,C10,C10_SRN_20251116-230320,simple_rnn,2,lemmatize,keras_tokenizer,learned,5,128,22.73093990900088,0.089558573354731,0.9775280898876404,0.5185185185185185,
2025-11-17T04:04:30.758790+00:00,C10,C10_SRN_20251116-230320,simple_rnn,3,lemmatize,keras_tokenizer,learned,5,128,20.51871756000037,0.2781891422308439,0.011235955056179775,0.7203630175836642,
2025-11-17T04:05:03.078983+00:00,C11,C11_SRN_20251116-230435,simple_rnn,1,stem,keras_tokenizer,learned,5,128,24.81970639299834,0.2902308969891301,0.24803591470258138,0.720540288775035,
2025-11-17T04:05:24.309428+00:00,C11,C11_SRN_20251116-230435,simple_rnn,2,stem,keras_tokenizer,learned,5,128,22.984951046997594,0.20115440100527893,0.11348314606741573,0.7116682738669238,
2025-11-17T04:05:44.144881+00:00,C11,C11_SRN_20251116-230435,simple_rnn,3,stem,keras_tokenizer,learned,5,128,21.07428815000094,0.2727244735954422,0.20224719101123595,0.7366369710467706,
2025-11-17T04:21:09.787900+00:00,C01,C01_LSTM_20251116-231015,lstm,1,baseline,keras_tokenizer,learned,5,128,701.4459867910009,0.10551243457046222,0.04826038159371493,0.8888888888888888,
2025-11-17T04:31:48.178252+00:00,C01,C01_LSTM_20251116-231015,lstm,2,baseline,keras_tokenizer,learned,5,128,687.1303292400007,0.3128474822402963,0.048314606741573035,0.733433734939759,
2025-11-17T04:42:15.772886+00:00,C01,C01_LSTM_20251116-231015,lstm,3,baseline,keras_tokenizer,learned,5,128,676.0909075760028,0.10880327872730906,0.0550561797752809,1.0,
2025-11-17T04:54:49.140931+00:00,C01,C01_SRN_DIAG_20251116-235429,simple_rnn,1,baseline,keras_tokenizer,learned,3,256,13.623847688999376,0.18341419200978015,0.6083052749719416,0.7522768670309654,diag_confusion
2025-11-17T04:58:31.137228+00:00,C01,C01_SRN_LONG_20251116-235745,simple_rnn,1,baseline,keras_tokenizer,learned,15,128,42.40943852499913,0.3234631823330142,0.03591470258136925,0.728406381808179,long_training_es_lr
2025-11-17T04:59:05.113226+00:00,C01,C01_SRN_LONG_20251116-235745,simple_rnn,2,baseline,keras_tokenizer,learned,15,128,36.77759471299942,0.30400285128424825,0.3651685393258427,0.7166257166257166,long_training_es_lr
2025-11-17T04:59:24.632759+00:00,C01,C01_SRN_LONG_20251116-235745,simple_rnn,3,baseline,keras_tokenizer,learned,15,128,20.813211764998414,0.32949726047265776,0.19550561797752808,0.73,long_training_es_lr
2025-11-17T05:03:02.063307+00:00,C01,C01_SRN_100E_20251117-000258,simple_rnn,1,baseline,keras_tokenizer,learned,100,128,21.1989815909983,0.28575720307033375,0.002244668911335578,0.7288785202466256,100_epochs_es_lr
2025-11-17T05:03:20.102400+00:00,C01,C01_SRN_100E_20251117-000258,simple_rnn,2,baseline,keras_tokenizer,learned,100,128,19.314986146000592,0.3308010716674616,0.09325842696629214,0.744462452728255,100_epochs_es_lr
2025-11-17T05:03:43.081916+00:00,C01,C01_SRN_100E_20251117-000258,simple_rnn,3,baseline,keras_tokenizer,learned,100,128,24.699775229000807,0.31174027250913644,0.035955056179775284,0.73396952954964,100_epochs_es_lr
2025-11-17T05:06:24.260440+00:00,C03,C03_SRN_LONG_20251117-000550,simple_rnn,1,lemmatize,keras_tokenizer,learned,30,128,32.13651956600006,0.21621195534353868,0.47362514029180697,0.7405329593267882,lemmatize_30ep_lr5e-4
2025-11-17T05:06:51.599929+00:00,C03,C03_SRN_LONG_20251117-000550,simple_rnn,2,lemmatize,keras_tokenizer,learned,30,128,29.109933665000426,0.08974744544205608,0.9831460674157303,0.6052631578947368,lemmatize_30ep_lr5e-4
2025-11-17T05:07:13.906876+00:00,C03,C03_SRN_LONG_20251117-000550,simple_rnn,3,lemmatize,keras_tokenizer,learned,30,128,24.097745880997536,0.0903002126159268,0.9842696629213483,0.6818181818181818,lemmatize_30ep_lr5e-4
2025-11-17T05:09:46.719758+00:00,C03,C03_SRN_LONG_20251117-000909,simple_rnn,1,lemmatize,keras_tokenizer,learned,30,128,35.25837624700216,0.2980640026389741,0.5308641975308642,0.7503229974160207,lemmatize_30ep_lr5e-4_m1p2
